INPUT:image,n_workers,acc
img_1.png,3.0,0.6666666666666666
img_101.png,2.0,0.0
img_103.png,2.0,1.0
img_105.png,4.0,0.75
img_107.png,5.0,0.8
img_109.png,3.0,1.0
img_11.png,4.0,0.5
img_111.png,4.0,0.5
img_113.png,3.0,1.0
img_115.png,3.0,0.6666666666666666
img_117.png,3.0,0.3333333333333333
img_119.png,3.0,1.0
img_121.png,4.0,0.25
img_123.png,3.0,0.6666666666666666
img_125.png,2.0,0.0
img_127.png,4.0,1.0
img_129.png,3.0,0.3333333333333333
img_13.png,2.0,0.5
img_131.png,3.0,0.6666666666666666
img_133.png,5.0,0.4
img_135.png,5.0,0.4
img_137.png,3.0,0.6666666666666666
img_139.png,3.0,0.0
img_141.png,5.0,1.0
img_143.png,2.0,1.0
img_145.png,3.0,0.6666666666666666
img_147.png,4.0,0.5
img_149.png,1.0,1.0
img_15.png,3.0,0.6666666666666666
img_151.png,3.0,0.3333333333333333
img_153.png,5.0,0.4
img_155.png,3.0,0.3333333333333333
img_157.png,4.0,0.75
img_159.png,2.0,0.5
img_161.png,4.0,1.0
img_163.png,3.0,0.6666666666666666
img_165.png,3.0,1.0
img_167.png,4.0,0.75
img_169.png,5.0,0.6
img_17.png,4.0,0.25
img_171.png,3.0,1.0
img_173.png,4.0,1.0
img_175.png,3.0,1.0
img_177.png,3.0,0.3333333333333333
img_179.png,1.0,1.0
img_181.png,3.0,0.6666666666666666
img_183.png,3.0,1.0
img_185.png,3.0,0.6666666666666666
img_187.png,3.0,0.3333333333333333
img_189.png,3.0,1.0
img_19.png,3.0,1.0
img_191.png,3.0,1.0
img_193.png,2.0,0.5
img_195.png,4.0,0.25
img_197.png,3.0,0.6666666666666666
img_199.png,3.0,1.0
img_201.png,4.0,1.0
img_203.png,3.0,1.0
img_205.png,4.0,0.25
img_207.png,2.0,1.0
img_209.png,2.0,1.0
img_21.png,3.0,1.0
img_211.png,4.0,0.75
img_213.png,4.0,1.0
img_215.png,5.0,0.6
img_217.png,3.0,0.0
img_219.png,4.0,0.25
img_221.png,2.0,0.5
img_223.png,5.0,0.8
img_225.png,4.0,0.75
img_227.png,3.0,0.6666666666666666
img_229.png,5.0,0.8
img_23.png,3.0,1.0
img_231.png,2.0,1.0
img_233.png,4.0,0.0
img_235.png,5.0,1.0
img_237.png,3.0,1.0
img_239.png,3.0,0.3333333333333333
img_241.png,4.0,1.0
img_243.png,4.0,0.25
img_245.png,4.0,0.75
img_247.png,5.0,0.4
img_249.png,4.0,1.0
img_25.png,3.0,0.6666666666666666
img_251.png,3.0,1.0
img_253.png,4.0,1.0
img_255.png,2.0,0.0
img_257.png,5.0,1.0
img_259.png,4.0,0.75
img_261.png,1.0,1.0
img_263.png,4.0,1.0
img_265.png,5.0,0.4
img_267.png,2.0,1.0
img_269.png,4.0,1.0
img_27.png,4.0,1.0
img_271.png,5.0,0.8
img_273.png,4.0,0.5
img_275.png,4.0,0.75
img_277.png,4.0,0.5
img_279.png,3.0,0.3333333333333333
img_281.png,3.0,1.0
img_283.png,2.0,1.0
img_285.png,1.0,1.0
img_287.png,1.0,1.0
img_289.png,2.0,1.0
img_29.png,4.0,0.75
img_291.png,4.0,0.5
img_293.png,4.0,0.5
img_295.png,3.0,0.3333333333333333
img_297.png,5.0,0.8
img_299.png,5.0,0.6
img_3.png,4.0,0.5
img_301.png,5.0,0.6
img_303.png,3.0,0.3333333333333333
img_305.png,4.0,0.75
img_307.png,4.0,1.0
img_309.png,3.0,1.0
img_31.png,4.0,0.75
img_311.png,5.0,0.2
