INPUT:image,n_workers,acc
40501.png,3.0,1.0
40502.png,3.0,1.0
40503.png,4.0,1.0
40504.png,4.0,0.25
40505.png,4.0,1.0
40506.png,2.0,0.0
40507.png,3.0,1.0
40508.png,5.0,0.8
40509.png,3.0,1.0
40510.png,5.0,1.0
40511.png,4.0,0.75
40512.png,5.0,0.8
40513.png,3.0,1.0
40514.png,4.0,0.5
40515.png,3.0,0.6666666666666666
40516.png,3.0,0.6666666666666666
40517.png,4.0,0.5
40518.png,3.0,1.0
40519.png,3.0,0.6666666666666666
40520.png,3.0,0.3333333333333333
40521.png,4.0,0.75
40522.png,4.0,1.0
40523.png,4.0,0.75
40524.png,5.0,0.6
40525.png,5.0,0.8
40526.png,4.0,1.0
40527.png,4.0,0.5
40528.png,4.0,0.75
40529.png,4.0,0.75
40530.png,4.0,0.5
40531.png,4.0,1.0
40532.png,4.0,0.5
40533.png,4.0,0.75
40534.png,1.0,1.0
40535.png,4.0,0.5
40536.png,5.0,1.0
40537.png,3.0,0.3333333333333333
40538.png,2.0,1.0
40539.png,3.0,0.6666666666666666
40540.png,5.0,0.8
40541.png,2.0,0.5
40542.png,3.0,1.0
40543.png,1.0,1.0
40544.png,5.0,1.0
40545.png,5.0,0.6
40546.png,4.0,0.25
40547.png,3.0,1.0
40548.png,4.0,1.0
40549.png,3.0,0.6666666666666666
40550.png,2.0,1.0
40551.png,5.0,1.0
40552.png,2.0,1.0
40553.png,4.0,0.75
40554.png,3.0,0.6666666666666666
40555.png,2.0,1.0
40556.png,4.0,1.0
40557.png,5.0,0.6
40558.png,5.0,1.0
40559.png,4.0,1.0
40560.png,4.0,0.5
40561.png,5.0,1.0
40562.png,4.0,1.0
40563.png,5.0,1.0
40564.png,1.0,1.0
40565.png,5.0,1.0
40566.png,3.0,1.0
40567.png,4.0,0.5
40568.png,5.0,0.4
40569.png,3.0,1.0
40570.png,3.0,0.6666666666666666
40571.png,3.0,0.6666666666666666
40572.png,5.0,1.0
40573.png,3.0,1.0
40574.png,5.0,1.0
40575.png,2.0,0.5
40576.png,5.0,1.0
40577.png,3.0,1.0
40578.png,5.0,1.0
40579.png,3.0,1.0
40580.png,4.0,1.0
40581.png,5.0,1.0
40582.png,4.0,0.5
40583.png,5.0,0.8
40584.png,5.0,0.6
40585.png,4.0,1.0
40586.png,3.0,1.0
40587.png,2.0,1.0
40588.png,4.0,0.5
40589.png,3.0,1.0
40590.png,4.0,0.75
40591.png,3.0,1.0
40592.png,2.0,1.0
40593.png,4.0,0.75
40594.png,4.0,1.0
40595.png,3.0,1.0
40596.png,5.0,0.4
40597.png,4.0,1.0
40598.png,4.0,1.0
40599.png,4.0,1.0
40600.png,3.0,0.6666666666666666
40601.png,4.0,1.0
40602.png,4.0,0.75
40603.png,2.0,1.0
40604.png,4.0,0.75
40605.png,3.0,0.6666666666666666
40606.png,2.0,0.0
40607.png,4.0,1.0
40608.png,5.0,0.8
40609.png,4.0,1.0
40610.png,4.0,0.75
40611.png,4.0,1.0
40612.png,4.0,1.0
40613.png,4.0,1.0
40614.png,5.0,0.6
40615.png,4.0,0.75
40616.png,3.0,1.0
40617.png,4.0,1.0
40618.png,5.0,0.8
40619.png,4.0,1.0
40620.png,5.0,0.8
40621.png,2.0,1.0
40622.png,4.0,1.0
40623.png,5.0,1.0
40624.png,5.0,1.0
40625.png,4.0,1.0
40626.png,3.0,0.6666666666666666
40627.png,4.0,0.75
40628.png,5.0,1.0
40629.png,4.0,0.75
40630.png,5.0,0.8
40631.png,3.0,0.3333333333333333
40632.png,4.0,0.75
40633.png,2.0,1.0
40634.png,4.0,0.75
40635.png,3.0,0.6666666666666666
40636.png,4.0,0.75
40637.png,4.0,1.0
40638.png,5.0,1.0
40639.png,4.0,0.75
40640.png,3.0,0.6666666666666666
40641.png,1.0,1.0
40642.png,3.0,0.6666666666666666
40643.png,3.0,1.0
40644.png,5.0,0.8
40645.png,4.0,0.75
40646.png,5.0,0.8
40647.png,3.0,0.6666666666666666
40648.png,3.0,1.0
40649.png,5.0,0.6
40650.png,5.0,0.8
40651.png,2.0,1.0
40652.png,4.0,1.0
40653.png,4.0,0.75
40654.png,4.0,0.75
40655.png,4.0,0.5
40656.png,3.0,1.0
40657.png,5.0,0.8
40658.png,4.0,0.75
40659.png,3.0,1.0
40660.png,3.0,0.6666666666666666
40661.png,4.0,1.0
40662.png,5.0,0.6
40663.png,5.0,1.0
40664.png,3.0,0.6666666666666666
40665.png,3.0,0.6666666666666666
40666.png,5.0,1.0
40667.png,3.0,1.0
40668.png,4.0,1.0
40669.png,2.0,0.0
40670.png,4.0,0.75
40671.png,2.0,1.0
40672.png,2.0,1.0
40673.png,3.0,1.0
40674.png,4.0,1.0
40675.png,5.0,0.2
40676.png,4.0,1.0
40677.png,5.0,0.2
40678.png,4.0,0.5
40679.png,4.0,0.25
40680.png,2.0,0.5
40681.png,3.0,0.6666666666666666
40682.png,4.0,1.0
40683.png,4.0,0.75
40684.png,3.0,1.0
40685.png,3.0,0.6666666666666666
40686.png,4.0,0.75
40687.png,3.0,1.0
40688.png,5.0,0.6
40689.png,4.0,1.0
40690.png,4.0,1.0
40691.png,5.0,0.8
40692.png,4.0,1.0
40693.png,2.0,1.0
40694.png,4.0,1.0
40695.png,2.0,0.0
40696.png,3.0,0.6666666666666666
40697.png,5.0,0.8
40698.png,3.0,1.0
40699.png,3.0,0.6666666666666666
40700.png,5.0,0.8
40701.png,4.0,0.75
40702.png,5.0,0.6
40703.png,5.0,0.8
40704.png,4.0,1.0
40705.png,4.0,0.75
40706.png,3.0,1.0
40707.png,2.0,1.0
40708.png,4.0,0.5
40709.png,5.0,1.0
40710.png,5.0,1.0
40711.png,4.0,0.75
40712.png,2.0,0.0
40713.png,3.0,1.0
40714.png,4.0,0.75
40715.png,2.0,1.0
40716.png,4.0,0.75
40717.png,3.0,1.0
40718.png,3.0,1.0
40719.png,4.0,1.0
40720.png,5.0,0.8
40721.png,3.0,1.0
40722.png,1.0,1.0
40723.png,2.0,0.5
40724.png,3.0,0.6666666666666666
40725.png,1.0,1.0
40726.png,3.0,0.6666666666666666
40727.png,3.0,1.0
40728.png,5.0,1.0
40729.png,4.0,1.0
40730.png,4.0,1.0
40731.png,3.0,1.0
40732.png,4.0,1.0
40733.png,3.0,1.0
40734.png,4.0,1.0
40735.png,4.0,0.5
40736.png,4.0,1.0
40737.png,5.0,1.0
40738.png,5.0,0.8
40739.png,4.0,1.0
40740.png,5.0,0.8
40741.png,4.0,0.5
40742.png,3.0,1.0
40743.png,2.0,1.0
40744.png,4.0,1.0
40745.png,3.0,0.6666666666666666
40746.png,3.0,0.6666666666666666
40747.png,4.0,0.5
40748.png,5.0,0.8
40749.png,3.0,1.0
40750.png,4.0,1.0
40751.png,5.0,0.8
40752.png,4.0,1.0
40753.png,4.0,1.0
40754.png,3.0,1.0
40755.png,4.0,0.75
40756.png,5.0,1.0
40757.png,3.0,0.6666666666666666
40758.png,4.0,1.0
40759.png,4.0,0.75
40760.png,3.0,1.0
40761.png,4.0,0.75
40762.png,3.0,1.0
40763.png,2.0,1.0
40764.png,5.0,1.0
40765.png,2.0,0.5
40766.png,4.0,1.0
40767.png,4.0,1.0
40768.png,5.0,0.4
40769.png,4.0,0.75
40770.png,4.0,1.0
40771.png,1.0,1.0
40772.png,4.0,0.5
40773.png,2.0,1.0
40774.png,5.0,1.0
40775.png,3.0,1.0
40776.png,3.0,0.6666666666666666
40777.png,4.0,1.0
40778.png,4.0,1.0
40779.png,3.0,1.0
40780.png,2.0,1.0
40781.png,4.0,1.0
40782.png,4.0,0.75
40783.png,3.0,0.6666666666666666
40784.png,3.0,0.6666666666666666
40785.png,3.0,0.6666666666666666
40786.png,4.0,0.5
40787.png,3.0,1.0
40788.png,2.0,1.0
40789.png,3.0,0.3333333333333333
40790.png,3.0,0.6666666666666666
40791.png,4.0,0.75
40792.png,4.0,0.75
40793.png,3.0,1.0
40794.png,2.0,1.0
40795.png,3.0,0.3333333333333333
40796.png,2.0,1.0
40797.png,4.0,1.0
40798.png,4.0,1.0
40799.png,4.0,1.0
40800.png,5.0,1.0
40801.png,2.0,1.0
40802.png,3.0,1.0
40803.png,5.0,0.4
40804.png,5.0,1.0
40805.png,4.0,1.0
40806.png,5.0,1.0
40807.png,3.0,0.6666666666666666
40808.png,1.0,1.0
40809.png,4.0,0.5
40810.png,4.0,1.0
40811.png,3.0,1.0
40812.png,4.0,1.0
40813.png,3.0,1.0
40814.png,4.0,0.75
40815.png,5.0,1.0
40816.png,2.0,0.5
40817.png,2.0,0.5
40818.png,2.0,1.0
40819.png,3.0,1.0
40820.png,4.0,0.75
40821.png,3.0,1.0
40822.png,5.0,0.6
40823.png,5.0,0.2
40824.png,4.0,1.0
40825.png,3.0,1.0
40826.png,3.0,1.0
40827.png,2.0,1.0
40828.png,4.0,1.0
40829.png,2.0,1.0
40830.png,4.0,1.0
40831.png,3.0,0.0
40832.png,4.0,0.5
40833.png,4.0,1.0
40834.png,3.0,1.0
40835.png,3.0,1.0
40836.png,5.0,1.0
40837.png,5.0,1.0
40838.png,5.0,1.0
40839.png,4.0,1.0
40840.png,4.0,0.75
40841.png,3.0,1.0
